"Policy_ID","Total_Distance","Drive_Score","Time_Day","Style_Score","Corner_Score","Acceleration_Score","Braking_Score","Total_Night_Time","Total_Time","Acceleration","Brake","Corner","Insured_Gender","Insured_Age","Claim"
"358",9359,91,97,36,20,55,55,25,289,"Low","Low","Low","F",33,"no"
"359",2807,84,76,69,68,77,89,19,161,"Low","High","Low","F",24,"no"
"360",21647,69,112,68,71,35,72,26,526,"Low","High","High","F",23,"no"
"361",12133,91,96,29,32,16,38,14,386,"Low","Low","Low","F",21,"no"
"362",13603,71,105,83,64,96,89,29,514,"High","High","High","M",19,"no"
"363",31942,38,99,97,97,97,98,35,799,"High","High","High","M",23,"no"
"364",18296,54,90,96,97,57,75,27,427,"Low","High","High","F",19,"no"
"365",10823,64,97,93,95,16,94,34,340,"Low","High","High","M",28,"yes"
"366",10246,63,90,93,87,98,93,19,276,"High","High","High","M",20,"yes"
"367",9880,88,108,42,42,65,39,30,289,"Low","Low","Low","F",19,"no"
"368",3624,28,121,12,9,16,14,44,139,"Low","Low","Low","M",34,"no"
"369",5923,97,96,13,9,16,15,7,223,"Low","Low","Low","F",24,"no"
"370",9054,71,121,73,72,63,76,49,362,"Low","High","High","M",23,"no"
"371",10060,74,52,66,28,85,85,24,284,"Low","High","Low","F",21,"no"
"372",5395,87,80,75,67,95,69,36,213,"High","High","High","M",23,"no"
"373",13191,82,96,64,73,16,29,34,324,"Low","Low","High","F",24,"no"
"374",11935,63,108,89,94,78,93,32,376,"Low","High","High","M",20,"yes"
"375",7785,72,94,43,52,16,43,23,303,"Low","Low","High","F",32,"no"
"376",8879,72,91,84,87,16,69,31,333,"Low","High","High","M",21,"no"
"377",17015,73,120,56,22,51,81,41,583,"Low","High","Low","M",20,"no"
"378",16452,73,108,67,54,92,82,30,458,"High","High","High","M",43,"no"
"379",16545,85,108,36,29,66,50,20,430,"Low","High","Low","F",21,"no"
"380",20034,82,112,36,44,56,50,28,467,"Low","High","High","F",21,"no"
"381",25276,82,109,16,20,16,19,30,490,"Low","Low","Low","M",54,"yes"
"382",17425,57,117,76,66,32,94,44,964,"Low","High","High","M",20,"no"
"383",8882,78,100,89,89,70,53,18,228,"Low","Low","High","F",20,"no"
"384",28634,66,76,66,33,84,85,21,1007,"Low","High","High","M",37,"no"
"385",23329,57,82,88,88,91,90,21,457,"High","High","High","M",23,"no"
"386",12740,34,124,93,92,82,79,45,272,"High","High","High","M",21,"no"
"387",10595,65,101,90,92,79,61,31,240,"Low","High","High","M",18,"no"
"388",12820,64,95,76,69,50,93,27,341,"Low","High","High","M",58,"no"
"389",20578,46,113,86,81,96,91,39,641,"High","High","High","M",20,"no"
"390",11905,84,98,32,40,39,42,26,470,"Low","High","Low","F",23,"yes"
"391",7190,95,96,30,27,46,43,12,176,"Low","Low","Low","F",32,"no"
"392",11314,60,98,64,74,76,60,20,273,"Low","High","High","F",19,"no"
"393",7983,88,41,46,41,67,55,23,259,"Low","High","Low","F",33,"no"
"394",1443,95,108,56,9,84,71,31,92,"Low","Low","Low","F",40,"no"
"395",16122,58,93,86,89,84,63,23,380,"Low","High","High","F",20,"no"
"396",3378,71,76,73,74,69,63,18,147,"Low","Low","High","M",21,"no"
"397",19871,65,104,82,83,56,79,18,503,"Low","High","High","M",37,"no"
"398",6332,69,92,84,85,95,93,28,173,"Low","High","High","M",27,"no"
"399",8999,90,108,41,48,16,46,27,204,"Low","High","High","F",23,"no"
"400",6954,94,86,20,23,39,27,19,279,"Low","Low","Low","M",28,"no"
"401",14485,48,124,69,76,70,61,34,435,"Low","High","High","M",18,"no"
"402",24736,48,124,94,92,88,94,44,703,"High","High","High","M",24,"yes"
"403",5764,83,73,68,70,80,79,24,173,"Low","High","High","F",22,"no"
"404",11693,62,104,99,99,72,70,26,258,"Low","High","High","F",26,"no"
"405",3503,47,124,21,9,16,31,28,135,"Low","Low","Low","F",22,"no"
"406",20100,66,100,85,83,94,80,20,809,"High","High","High","M",19,"no"
"407",14645,36,114,37,35,80,33,22,270,"Low","High","Low","F",23,"no"
"408",14410,79,108,37,50,16,28,18,301,"Low","Low","High","F",45,"no"
"409",39054,78,112,44,58,16,21,41,769,"Low","Low","High","M",46,"no"
"410",22666,62,70,67,70,77,47,30,558,"High","High","High","M",20,"no"
"411",5014,62,74,92,93,74,93,24,176,"Low","High","High","M",20,"no"
"412",847,61,109,81,82,70,19,31,42,"Low","Low","Low","M",59,"no"
"413",8297,61,124,97,97,95,95,43,355,"High","High","High","M",22,"no"
"414",9698,75,100,80,82,62,65,26,269,"Low","High","High","M",28,"no"
"415",10398,71,120,73,75,69,85,37,337,"Low","High","High","F",20,"no"
"416",6789,77,70,99,56,100,100,29,296,"Low","Low","High","F",29,"no"
"417",10760,56,77,95,97,45,82,28,314,"Low","High","High","M",53,"no"
"418",4914,54,132,91,86,90,85,64,182,"Low","High","High","M",20,"no"
"419",10455,85,108,62,46,64,77,34,289,"Low","High","Low","M",22,"no"
"420",10722,86,100,59,58,70,79,25,325,"Low","High","High","F",20,"yes"
"421",19765,63,116,72,73,77,66,34,528,"Low","High","High","M",20,"no"
"422",9969,73,104,76,69,78,71,23,282,"Low","Low","High","F",23,"yes"
"423",9930,81,100,90,71,98,97,22,527,"High","High","Low","F",32,"no"
"424",14711,58,99,74,78,88,86,31,331,"Low","High","High","M",19,"no"
"425",14119,59,116,82,83,16,89,37,596,"Low","High","High","M",29,"no"
"426",12094,79,100,67,60,43,91,33,529,"Low","High","High","F",22,"yes"
"427",14777,42,109,91,92,89,92,37,446,"High","High","High","M",20,"no"
"428",3417,67,83,60,21,16,85,24,177,"Low","Low","Low","M",23,"no"
"429",5376,78,97,86,88,48,89,21,173,"Low","High","High","M",19,"no"
"430",13591,49,120,88,88,94,90,35,431,"Low","High","High","F",23,"no"
"431",8104,59,109,79,74,76,87,47,289,"Low","High","High","M",25,"no"
"432",15270,49,94,97,97,93,95,26,304,"High","High","High","M",20,"yes"
"433",15154,83,106,32,31,16,51,41,453,"Low","High","Low","F",20,"no"
"434",13389,41,128,82,84,75,58,46,319,"Low","High","High","M",20,"no"
"435",13564,75,108,68,72,78,46,20,465,"High","High","High","M",20,"no"
"436",2647,7,144,41,59,39,26,67,62,"Low","Low","High","M",20,"no"
"437",26293,45,116,95,96,86,94,34,761,"High","High","High","M",26,"yes"
"438",15084,81,112,25,27,47,34,24,281,"Low","Low","Low","M",37,"no"
"439",7830,21,118,95,96,81,72,33,256,"High","High","High","M",24,"no"
"440",16977,49,116,93,93,79,91,29,396,"Low","High","High","M",31,"no"
"441",8176,80,108,78,38,97,89,27,461,"High","High","Low","F",22,"no"
"442",25136,54,116,79,79,86,82,34,577,"Low","High","High","M",21,"no"
"443",29368,69,116,61,65,34,64,33,683,"Low","High","High","M",21,"no"
"444",8333,68,73,83,60,54,97,19,313,"Low","High","High","F",30,"yes"
"445",5048,86,100,65,81,16,53,20,191,"Low","Low","High","M",20,"no"
"446",13316,53,98,97,96,63,88,31,469,"Low","High","High","F",18,"no"
"447",24200,74,120,45,30,79,67,36,557,"Low","High","Low","M",26,"no"
"448",10516,61,58,80,86,89,60,18,205,"High","High","High","M",23,"no"
"449",17340,72,104,71,65,75,83,29,485,"Low","High","High","M",59,"no"
"450",12374,56,116,86,86,88,88,34,385,"High","High","High","M",20,"no"
"451",9903,63,88,82,80,86,66,34,357,"Low","High","High","F",22,"no"
"452",16140,54,102,75,73,58,83,28,414,"Low","High","High","M",19,"no"
"453",9508,70,81,76,77,81,78,31,392,"Low","High","High","F",20,"no"
"454",4469,70,98,63,49,86,84,23,274,"Low","High","High","M",30,"no"
"455",3106,81,108,61,59,64,74,21,64,"Low","High","Low","M",23,"no"
"456",15471,44,128,95,95,96,94,42,761,"High","High","High","M",24,"no"
"457",7509,86,104,32,19,42,52,23,272,"Low","High","Low","F",21,"no"
"458",28491,69,101,80,83,60,81,32,596,"Low","High","High","F",20,"no"
"459",3749,61,109,81,84,83,75,32,141,"Low","Low","High","M",33,"no"
"460",10050,78,116,64,66,48,74,35,349,"Low","High","High","F",21,"no"
"461",3300,26,132,42,54,64,17,35,98,"Low","Low","High","M",25,"no"
"462",10087,94,89,6,9,16,7,14,250,"Low","Low","Low","M",51,"no"
"463",8074,54,109,76,72,85,86,12,246,"High","High","High","F",44,"no"
"464",8683,83,98,29,22,16,45,30,344,"Low","Low","Low","F",27,"no"
"465",22650,85,104,21,27,16,22,19,452,"Low","Low","Low","M",36,"no"
"466",103,31,102,6,9,16,7,1,10,"Low","Low","Low","F",26,"no"
"467",18514,77,34,42,27,48,64,17,382,"Low","High","Low","M",23,"no"
"468",6334,88,86,58,61,70,76,13,155,"Low","High","High","F",21,"yes"
"469",13906,75,97,67,73,39,71,17,456,"Low","High","High","F",35,"no"
"470",6019,40,128,100,100,37,43,40,260,"Low","Low","High","F",52,"no"
"471",521,7,144,17,26,42,15,62,20,"Low","Low","Low","M",55,"no"
"472",7188,69,112,97,98,98,87,25,329,"High","High","High","M",19,"no"
"473",12471,87,90,31,17,16,51,19,296,"Low","High","Low","M",32,"no"
"474",12279,78,100,73,60,88,85,23,519,"Low","High","High","F",23,"no"
"475",10677,88,101,35,38,16,40,28,432,"Low","Low","Low","M",29,"no"
"476",7181,59,128,49,54,72,42,61,200,"Low","Low","High","F",44,"no"
"477",7181,59,128,49,54,72,42,61,200,"Low","Low","High","F",44,"no"
"478",11665,58,106,53,66,50,38,23,257,"Low","High","High","F",20,"no"
"479",13804,53,58,97,97,90,81,16,384,"Low","High","High","M",24,"no"
"480",20422,59,128,75,50,37,88,59,805,"Low","High","High","M",21,"yes"
"481",14692,84,108,41,26,52,63,38,546,"Low","High","Low","M",21,"no"
"482",20772,59,70,71,77,75,55,34,403,"Low","High","High","M",21,"no"
"483",10087,84,83,70,71,66,31,28,282,"High","Low","High","F",19,"no"
"484",18145,62,112,78,84,63,65,28,624,"Low","High","High","M",46,"no"
"485",13742,71,93,98,95,96,100,24,751,"High","High","High","M",25,"no"
"486",51656,84,96,38,44,37,50,17,1098,"Low","High","High","F",28,"no"
"487",16030,85,104,47,30,72,69,25,322,"Low","High","Low","F",21,"no"
"488",17922,76,104,62,73,63,37,23,519,"Low","Low","High","F",20,"yes"
"489",4802,90,116,52,64,57,43,35,305,"Low","Low","High","M",19,"no"
"490",14298,37,103,92,94,91,93,46,539,"High","High","High","M",21,"no"
"491",6115,64,110,95,94,87,97,38,137,"High","High","High","M",21,"no"
"492",10024,87,108,51,58,16,61,32,271,"Low","High","High","F",22,"no"
"493",15086,74,105,64,66,58,61,30,445,"Low","High","High","M",18,"no"
"494",12840,79,96,81,43,60,97,18,372,"Low","High","Low","F",25,"no"
"495",6055,72,98,88,87,91,96,31,269,"Low","High","High","M",25,"no"
"496",11066,80,73,58,44,56,77,19,373,"Low","High","Low","F",37,"no"
"497",10112,71,120,76,78,56,72,43,313,"Low","High","High","M",23,"no"
"498",6130,76,108,89,89,89,88,29,207,"Low","High","High","M",19,"no"
"499",6630,71,101,93,94,95,95,24,192,"Low","High","High","M",21,"no"
"500",5509,41,124,87,85,95,89,31,222,"Low","High","High","F",25,"no"
"501",11593,57,120,82,85,69,56,35,302,"Low","High","High","M",20,"no"
"502",11127,53,110,93,94,71,87,43,296,"Low","High","High","M",21,"no"
"503",10943,78,116,55,61,53,73,40,502,"Low","High","High","F",20,"no"
"504",8280,93,100,30,26,62,36,15,261,"Low","Low","Low","M",48,"no"
"505",5305,88,97,67,53,91,84,27,239,"Low","High","Low","F",24,"no"
"506",6547,94,96,48,54,38,54,18,334,"Low","Low","Low","F",30,"no"
"507",12901,84,96,51,66,16,58,13,452,"Low","High","High","F",36,"no"
"508",21273,76,120,42,33,74,65,45,579,"Low","High","High","M",24,"no"
"509",3891,54,106,97,97,39,94,49,176,"Low","High","High","M",32,"yes"
"510",8520,33,107,58,62,50,55,23,209,"Low","High","High","M",20,"no"
"511",711,14,121,61,49,88,70,18,20,"High","High","Low","F",28,"no"
"512",2176,69,108,53,51,68,53,13,144,"Low","Low","Low","F",45,"no"
"513",16465,58,100,96,92,92,99,22,807,"High","High","High","M",43,"no"
"514",8997,89,101,39,31,16,57,27,344,"Low","Low","Low","F",26,"no"
"515",13524,63,117,79,76,82,91,40,401,"High","High","High","M",22,"no"
"516",9952,56,105,94,95,91,96,27,290,"High","High","High","M",35,"no"
"517",530,24,132,6,9,16,7,18,11,"Low","Low","Low","M",37,"no"
"518",328,31,136,6,9,16,7,44,16,"Low","Low","Low","M",35,"no"
"519",9364,78,116,70,78,38,48,36,414,"Low","High","High","M",23,"no"
"520",5973,77,100,92,93,43,92,24,372,"Low","High","High","F",25,"no"
"521",2057,19,132,77,82,67,85,26,94,"Low","High","High","M",22,"no"
"522",32430,77,102,49,32,72,66,34,695,"Low","High","High","F",22,"yes"
"523",5826,76,112,62,44,44,90,19,272,"Low","High","Low","F",20,"no"
"524",5794,93,82,51,23,75,73,11,334,"Low","High","Low","F",34,"no"
"525",14901,72,116,66,74,59,58,32,338,"Low","High","High","M",20,"no"
"526",6671,89,69,51,64,16,25,14,137,"Low","Low","High","M",19,"yes"
"527",7369,75,112,86,78,97,77,26,253,"High","High","High","M",19,"no"
"528",6018,94,94,23,25,62,23,20,287,"Low","Low","Low","F",30,"yes"
"529",15814,68,120,70,70,78,77,39,504,"Low","High","High","M",34,"no"
"530",6682,89,97,73,73,77,80,18,193,"Low","Low","High","F",26,"no"
"531",4984,95,104,39,26,48,58,15,222,"Low","Low","Low","F",20,"no"
"532",24974,45,120,89,89,89,76,45,565,"High","High","High","M",19,"yes"
"533",4830,43,124,51,62,63,38,15,138,"Low","Low","Low","F",20,"no"
"534",721,35,128,80,72,97,71,13,35,"High","Low","Low","M",25,"no"
"535",5776,38,116,82,81,63,91,42,281,"Low","High","High","M",23,"no"
"536",13992,60,98,85,83,62,88,32,566,"Low","High","High","M",20,"yes"
"537",14108,72,112,58,62,81,59,22,348,"Low","High","High","M",25,"yes"
"538",17687,58,116,92,93,89,97,32,444,"High","High","High","M",19,"no"
"539",22450,69,109,84,88,41,64,25,467,"Low","High","High","F",27,"no"
"540",11638,47,112,91,91,95,81,21,418,"High","High","High","M",19,"no"
"541",5293,59,120,43,49,16,50,28,182,"Low","Low","Low","F",22,"yes"
"542",11119,75,96,81,85,84,69,27,421,"High","High","High","M",35,"no"
"543",10716,79,104,71,73,84,68,29,556,"Low","High","High","F",36,"no"
"544",4614,88,96,76,68,39,92,24,311,"Low","High","Low","F",42,"no"
"545",16242,46,98,97,98,88,92,32,385,"High","High","High","M",19,"no"
"546",4934,94,96,58,44,55,80,22,278,"Low","High","Low","F",23,"no"
"547",15100,80,47,53,64,16,37,18,369,"Low","Low","High","M",21,"yes"
"548",5401,72,59,86,86,69,92,22,172,"Low","High","High","F",24,"no"
"549",5297,72,62,99,99,76,92,13,247,"Low","High","High","F",28,"yes"
"550",7866,88,105,58,57,44,70,27,266,"Low","High","High","F",21,"no"
"551",1303,81,100,78,35,95,82,21,342,"Low","Low","Low","M",35,"no"
"552",10051,54,116,78,79,66,80,27,355,"Low","High","High","M",27,"no"
"553",15964,80,104,58,60,82,48,21,336,"Low","High","High","F",23,"no"
"554",2746,19,132,49,43,43,31,33,62,"Low","Low","High","M",21,"yes"
"555",8464,70,112,80,88,44,80,31,414,"Low","High","High","M",50,"yes"
"556",19868,40,132,91,91,85,92,51,773,"Low","High","High","M",34,"no"
"557",10887,60,58,97,98,88,97,19,374,"Low","High","High","M",23,"no"
"558",22507,51,108,86,82,95,92,26,585,"High","High","High","M",23,"no"
"559",8945,90,100,60,41,92,47,18,463,"High","Low","Low","F",49,"no"
"560",10371,89,100,46,51,40,49,29,222,"Low","Low","High","F",27,"no"
"561",627,27,128,84,89,100,99,21,111,"Low","Low","High","M",25,"yes"
"562",587,52,86,99,99,95,98,29,33,"High","High","High","M",19,"no"
"563",9562,82,116,62,48,79,76,41,474,"Low","High","High","F",25,"no"
"564",4368,16,144,87,86,80,92,60,149,"High","High","High","M",19,"no"
"565",4237,79,106,79,58,93,91,42,309,"Low","High","High","M",29,"no"
"566",5185,78,93,93,93,87,97,13,136,"Low","High","High","M",23,"no"
"567",15649,46,102,92,83,74,98,38,396,"Low","High","High","M",24,"no"
"568",12700,84,84,27,42,16,18,34,344,"Low","Low","Low","M",29,"no"
"569",23918,66,109,67,71,51,61,34,489,"Low","High","High","M",28,"no"
"570",7809,72,108,81,80,80,93,31,301,"Low","High","High","F",20,"no"
"571",5770,77,100,99,99,99,100,21,340,"High","High","High","M",24,"yes"
"572",5685,93,80,43,9,53,68,12,293,"Low","Low","Low","M",36,"no"
"573",15039,61,120,88,90,86,80,35,328,"High","High","High","M",20,"no"
"574",13925,74,104,75,76,69,86,26,322,"Low","High","High","F",22,"no"
"575",16010,46,120,92,68,99,95,44,664,"High","High","High","M",20,"yes"
"576",14819,69,113,55,61,45,53,35,367,"Low","High","High","F",23,"no"
"577",14007,77,98,59,54,16,62,37,296,"Low","High","High","M",22,"no"
"578",24182,82,90,32,40,45,35,24,548,"Low","High","High","F",20,"no"
"579",29871,75,112,51,57,77,47,30,672,"Low","High","High","M",19,"yes"
"580",3666,56,97,79,81,87,63,11,115,"High","Low","High","F",54,"no"
"581",6466,72,98,84,86,85,69,26,256,"Low","High","High","M",21,"no"
"582",13602,88,89,26,21,37,39,10,592,"Low","High","Low","F",46,"no"
"583",12708,57,105,95,95,94,95,28,370,"High","High","High","M",23,"no"
"584",5901,62,108,93,90,91,96,23,219,"High","High","High","F",20,"no"
"585",8492,86,112,59,48,70,75,29,244,"Low","High","Low","F",21,"no"
"586",13457,84,109,39,25,42,60,36,525,"Low","High","Low","F",23,"no"
"587",1295,92,97,72,71,70,81,13,70,"Low","Low","Low","F",25,"no"
"588",9756,91,104,40,39,16,58,27,312,"Low","High","Low","F",21,"no"
"589",14287,52,124,85,89,72,75,36,378,"Low","High","High","F",23,"no"
"590",9151,81,104,70,62,39,86,28,375,"Low","High","High","M",28,"no"
"591",11639,57,108,96,96,97,84,27,369,"High","High","High","M",19,"no"
"592",1802,8,144,65,62,68,80,62,69,"Low","High","High","M",22,"yes"
"593",4010,79,80,69,29,80,91,31,168,"Low","High","Low","F",34,"yes"
"594",21484,68,108,83,85,84,77,28,630,"Low","High","High","M",20,"yes"
"595",34039,79,108,44,35,47,66,23,1063,"Low","High","High","M",19,"no"
"596",5121,90,102,46,46,62,51,33,270,"Low","Low","Low","M",21,"yes"
"597",14764,79,116,63,66,61,46,37,466,"Low","High","High","M",23,"no"
"598",3473,68,106,39,40,46,56,27,180,"Low","Low","Low","F",23,"yes"
"599",3418,95,108,48,32,16,71,17,222,"Low","Low","Low","F",30,"no"
"600",9170,18,136,49,59,78,74,49,340,"High","High","High","F",23,"yes"
"601",8885,81,88,50,52,76,69,28,335,"High","High","High","F",24,"no"
"602",6192,90,116,43,41,63,59,35,230,"Low","Low","Low","M",19,"no"
"603",8500,90,62,41,46,36,48,21,219,"Low","High","Low","M",24,"no"
"604",12193,65,112,68,64,74,79,22,475,"Low","High","High","M",26,"no"
"605",7866,87,112,57,58,76,59,31,365,"Low","Low","High","F",20,"no"
"606",16677,82,116,39,43,16,55,34,754,"Low","High","Low","F",21,"no"
"607",11105,72,96,83,79,16,94,17,466,"Low","High","High","M",51,"no"
"608",5227,50,120,45,40,47,63,30,173,"Low","High","Low","M",24,"no"
"609",11123,85,97,60,59,86,52,21,269,"Low","Low","High","M",21,"no"
"610",24936,78,70,17,17,16,25,25,576,"Low","Low","Low","F",36,"no"
"611",8351,72,108,94,94,97,90,27,264,"High","High","High","M",28,"no"
"612",13825,84,94,32,31,63,45,25,369,"Low","High","Low","F",23,"no"
"613",24254,39,128,92,92,93,95,44,747,"High","High","High","M",20,"no"
"614",11702,82,109,45,52,16,53,34,389,"Low","Low","High","M",20,"yes"
"615",13260,63,96,55,63,60,34,45,329,"Low","High","High","M",29,"no"
"616",18100,73,116,62,67,68,61,29,420,"Low","High","High","M",21,"no"
"617",13066,54,91,98,98,99,98,25,460,"High","High","High","M",20,"no"
"618",14435,85,104,45,27,32,66,22,473,"Low","High","Low","F",34,"no"
"619",11504,85,100,69,72,63,56,20,499,"Low","High","High","F",31,"no"
"620",13792,70,101,71,72,47,80,21,355,"Low","High","High","F",19,"no"
"621",1825,2,144,38,53,41,20,52,35,"Low","Low","High","M",21,"no"
"622",14452,86,90,40,44,57,44,18,340,"Low","High","Low","M",49,"yes"
"623",13694,64,105,83,88,71,65,31,357,"Low","High","High","M",24,"no"
"624",34402,80,112,27,30,48,31,34,778,"Low","High","Low","M",19,"no"
"625",7890,85,96,72,78,47,71,14,211,"Low","High","High","M",42,"no"
"626",4178,92,104,57,55,16,71,28,201,"Low","Low","Low","F",27,"no"
"627",7964,83,97,66,59,71,85,23,345,"Low","High","High","F",35,"no"
"628",26099,41,120,98,99,97,96,37,644,"High","High","High","M",19,"no"
"629",3566,85,124,31,9,16,51,40,220,"Low","Low","Low","M",54,"no"
"630",8003,67,116,95,96,43,95,38,237,"Low","High","High","M",19,"no"
"631",11475,42,72,96,97,91,73,18,350,"High","High","High","M",22,"no"
"632",10957,85,93,54,64,69,80,26,503,"Low","High","Low","M",41,"yes"
"633",10440,86,112,47,31,47,69,28,469,"Low","High","Low","M",22,"no"
"634",19145,52,112,52,22,36,80,14,1257,"Low","High","Low","M",44,"no"
"635",6194,81,76,46,60,73,52,25,219,"Low","High","High","M",23,"no"
"636",2743,99,100,29,38,16,29,18,94,"Low","Low","Low","M",31,"no"
"637",12189,86,93,57,56,87,53,25,299,"Low","Low","High","M",20,"yes"
"638",9558,72,66,75,80,79,55,21,226,"Low","High","High","F",25,"no"
"639",9638,78,104,60,57,46,73,21,258,"Low","High","High","F",19,"no"
"640",6656,88,112,51,65,41,45,36,156,"Low","Low","High","F",22,"no"
"641",6382,79,94,89,78,99,79,27,284,"High","High","High","F",43,"no"
"642",13301,69,116,68,73,34,69,40,302,"Low","High","High","F",21,"no"
"643",15812,74,87,75,69,96,76,26,575,"High","High","High","F",27,"no"
"644",36312,61,97,78,84,75,66,21,944,"Low","High","High","F",27,"yes"
"645",31429,84,68,28,21,38,39,17,768,"Low","High","Low","M",49,"no"
"646",5020,65,113,29,20,16,46,42,225,"Low","Low","Low","F",21,"no"
"647",13498,51,97,95,96,90,84,16,354,"High","High","High","M",20,"no"
"648",6188,85,56,55,48,81,67,28,332,"Low","High","Low","F",53,"yes"
"649",3772,76,105,93,90,86,97,38,131,"Low","High","High","M",19,"no"
"650",11080,77,86,74,76,69,72,22,280,"Low","High","High","M",21,"no"
"651",14410,89,82,27,24,34,40,19,455,"Low","High","Low","F",36,"no"
"652",1007,23,140,20,9,61,21,38,38,"Low","Low","Low","F",20,"yes"
"653",1865,53,128,27,33,16,33,35,65,"Low","Low","Low","M",24,"no"
"654",10789,21,118,78,73,82,78,34,231,"Low","High","High","M",23,"yes"
"655",20660,66,112,72,49,93,84,21,591,"High","High","High","M",27,"no"
"656",13489,88,96,48,39,16,75,26,663,"Low","High","Low","M",50,"no"
"657",12633,73,105,66,63,90,80,30,313,"High","High","High","F",21,"no"
"658",10861,58,120,96,97,64,71,42,472,"Low","High","High","M",19,"no"
"659",4537,85,96,85,84,93,72,23,199,"Low","Low","High","M",28,"no"
"660",4457,48,102,100,100,100,100,38,344,"High","High","High","M",19,"no"
"661",3774,76,63,81,88,60,93,23,232,"Low","High","High","F",23,"no"
"662",16925,68,97,100,100,78,75,26,735,"Low","High","High","M",20,"yes"
"663",15701,49,132,68,70,16,70,55,732,"Low","High","High","M",20,"no"
"664",6244,17,121,80,83,79,44,26,130,"High","High","High","M",27,"no"
"665",1728,9,129,53,62,59,43,36,44,"Low","High","High","M",20,"no"
"666",17012,72,116,65,66,92,56,31,342,"High","High","High","M",24,"no"
"667",6465,39,109,58,28,16,83,19,316,"Low","High","Low","M",28,"no"
"668",3946,95,96,58,54,46,78,6,173,"Low","High","Low","F",65,"no"
"669",9566,60,91,92,39,99,89,28,259,"High","High","Low","M",19,"no"
"670",7075,77,89,87,82,95,94,11,354,"Low","High","High","F",20,"no"
"671",12143,76,105,74,59,78,92,32,309,"Low","High","High","M",21,"no"
"672",1730,87,90,74,80,16,60,20,59,"Low","Low","High","F",21,"yes"
"673",7075,77,100,89,91,82,81,24,200,"High","High","High","M",26,"no"
"674",22084,77,116,46,55,16,54,33,667,"Low","High","High","F",23,"no"
"675",11529,69,87,78,82,81,79,24,282,"High","High","High","M",37,"no"
"676",869,39,81,94,72,76,99,12,57,"Low","High","High","M",47,"no"
"677",17423,72,91,59,69,37,64,36,335,"Low","High","High","M",43,"no"
"678",15629,67,91,84,87,76,63,28,496,"Low","High","High","M",20,"no"
"679",18914,50,121,35,27,54,44,53,797,"Low","High","High","M",20,"no"
"680",10240,86,80,47,35,16,67,24,303,"Low","High","Low","F",32,"yes"
"681",12678,77,101,42,54,16,33,23,308,"Low","Low","High","F",24,"no"
"682",22584,58,112,80,76,67,93,36,774,"Low","High","High","M",27,"no"
"683",11659,72,108,80,79,33,83,27,459,"Low","High","High","F",20,"no"
"684",7520,78,97,74,76,83,66,21,267,"Low","High","High","M",20,"no"
"685",11206,89,96,38,44,44,54,17,518,"Low","High","High","F",25,"no"
"686",4431,71,90,90,92,16,69,17,124,"Low","Low","High","M",19,"no"
"687",6255,93,112,19,23,64,19,33,186,"Low","Low","Low","F",27,"no"
"688",18640,82,97,44,50,16,41,28,421,"Low","High","High","F",20,"yes"
"689",5715,92,86,50,41,40,70,18,329,"Low","Low","Low","M",20,"no"
"690",9941,90,100,50,27,77,63,40,343,"High","High","Low","F",23,"no"
"691",13627,61,116,80,88,74,72,43,462,"Low","High","High","F",20,"no"
"692",8069,85,90,65,73,16,58,20,230,"Low","High","High","M",22,"no"
"693",25618,56,100,88,89,78,65,29,607,"High","High","High","F",25,"no"
"694",8588,47,114,58,63,48,68,39,249,"Low","High","High","M",33,"no"
"695",20803,76,113,53,58,52,57,35,579,"Low","High","High","M",25,"yes"
"696",9689,82,87,59,54,54,76,21,335,"Low","High","High","M",21,"no"
"697",20519,54,128,80,83,76,85,50,672,"Low","High","High","F",20,"yes"
"698",12219,71,108,95,96,72,85,28,303,"Low","High","High","F",20,"no"
"699",7368,84,112,63,29,40,88,39,227,"Low","Low","Low","F",33,"no"
"700",12919,77,51,63,71,49,39,18,333,"Low","Low","High","M",36,"no"
"701",13129,77,100,78,81,84,60,22,236,"Low","High","High","M",21,"yes"
"702",19955,82,87,23,33,16,34,22,395,"Low","High","Low","F",19,"no"
"703",9201,84,112,62,43,56,81,29,410,"Low","High","Low","M",26,"no"
"704",22845,44,48,90,90,90,86,25,531,"High","High","High","M",20,"yes"
"705",1636,80,113,77,53,75,95,37,103,"Low","High","Low","M",30,"no"
"706",17178,80,112,48,48,66,60,26,727,"Low","High","Low","F",32,"no"
"707",9750,77,105,68,59,77,87,30,427,"Low","High","High","F",21,"no"
"708",4932,94,93,46,39,84,40,28,190,"Low","Low","Low","F",21,"no"
"709",13905,92,96,21,20,16,31,16,322,"Low","High","Low","F",19,"no"
"710",4121,94,69,39,9,56,62,23,314,"Low","Low","Low","M",27,"no"
"711",11785,87,47,26,38,52,19,10,260,"Low","Low","Low","F",32,"no"
"712",5450,73,74,65,47,16,85,34,275,"Low","High","Low","M",35,"no"
"713",12426,81,120,43,51,63,49,42,526,"Low","High","High","F",23,"no"
"714",9823,67,109,78,85,87,78,32,228,"High","High","High","M",21,"no"
"715",8769,88,100,56,51,73,69,19,376,"Low","High","High","M",32,"no"
"716",7092,81,89,78,73,62,91,24,219,"Low","High","High","F",20,"no"
"717",15984,60,104,99,98,58,99,29,896,"Low","High","High","F",21,"no"
"718",7059,77,62,74,81,84,75,15,318,"High","High","High","F",25,"no"
